[4:27 PM - Apr 26 2025]: 
{Login response opcode: 2}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
{Attempting to read from open socket...}
